latitude,longitude,eastings,northings,speed,train,datetime,mnc,operator,earfcn,dlfreq,phylayercellid,pci,rsrp,cal_rsrp,total_power,rsrq,sinr
51.605709,-1.225599,453726,189936,22,Train1,2018-06-01 00:00:01,15,Vodafone,347,2144,1,19,-76.63,-71.45,-55.91,-13.09,19.57
51.605709,-1.225599,453726,189936,22,Train1,2018-06-01 00:00:01,10,O2,6400,816,1,19,-77.49,-73.81,-56.64,-13.18,14.86
51.605718,-1.225628,453724,189937,22,Train1,2018-06-01 00:00:01,20,Three,1392,1824,2,452,-87.73,-82.12,-66.05,-13.5,18.69
51.605728,-1.225657,453722,189938,22,Train1,2018-06-01 00:00:02,30,EE,6225,798,1,253,-82.44,-79.28,-60.94,-11.65,9.96
51.605754,-1.225734,453717,189941,22,Train1,2018-06-01 00:00:03,15,Vodafone,347,2144,1,19,-84.04,-78.86,-62.55,-13.75,16.92
51.605764,-1.225766,453715,189942,22,Train1,2018-06-01 00:00:03,15,Vodafone,6300,806,1,19,-75.42,-72.26,-54.99,-12.96,11.93
51.605771,-1.225785,453713,189943,22,Train1,2018-06-01 00:00:03,10,O2,6400,816,1,19,-86.79,-83.11,-60.67,-18.26,9.77
51.605779,-1.22581,453712,189944,22,Train1,2018-06-01 00:00:04,20,Three,1392,1824,2,452,-89.92,-84.31,-68.88,-13.74,13.55
51.605789,-1.225841,453709,189945,22,Train1,2018-06-01 00:00:04,30,EE,6225,798,1,253,-80.1,-76.94,-56.91,-14.1,12.68
51.605843,-1.226003,453698,189951,21,Train1,2018-06-01 00:00:06,20,Three,1392,1824,2,452,-88.75,-83.14,-71.74,-14.22,13.71
51.605834,-1.225977,453700,189950,21,Train1,2018-06-01 00:00:06,10,O2,6400,816,1,19,-82.99,-79.31,-61.98,-14.02,6.38
51.605852,-1.226032,453696,189952,21,Train1,2018-06-01 00:00:07,30,EE,6225,798,1,253,-86.45,-83.29,-61.6,-15.37,9.17
51.605872,-1.226091,453692,189954,21,Train1,2018-06-01 00:00:07,15,Vodafone,6300,806,1,19,-77.22,-74.06,-55.28,-12.99,11.55
51.605897,-1.226169,453687,189957,21,Train1,2018-06-01 00:00:08,10,O2,6400,816,1,19,-81.4,-77.72,-57.29,-16.5,8.08
51.605905,-1.226193,453685,189958,21,Train1,2018-06-01 00:00:09,20,Three,1392,1824,2,452,-82.75,-77.14,-75.72,-13.18,12.74
51.605913,-1.226217,453683,189958,21,Train1,2018-06-01 00:00:09,30,EE,6225,798,1,253,-72.17,-69.01,-51.77,-10.79,14.68
51.60593,-1.226269,453680,189960,21,Train1,2018-06-01 00:00:10,15,Vodafone,6300,806,1,19,-83.43,-80.27,-62.46,-13.31,9.26
51.605954,-1.226345,453674,189963,21,Train1,2018-06-01 00:00:11,10,O2,6400,816,1,19,-87.86,-84.18,-61.4,-19.62,8.01
51.605962,-1.226371,453672,189964,21,Train1,2018-06-01 00:00:11,20,Three,1392,1824,2,452,-89.76,-84.15,-73.25,-13.54,16.49
51.60597,-1.226395,453671,189965,21,Train1,2018-06-01 00:00:11,30,EE,6225,798,1,253,-72.83,-69.67,-52.39,-10.89,16.8
51.605986,-1.226449,453667,189966,21,Train1,2018-06-01 00:00:12,15,Vodafone,6300,806,1,19,-88.52,-85.36,-64.99,-16.47,8.95
51.606014,-1.226537,453661,189969,21,Train1,2018-06-01 00:00:13,20,Three,1392,1824,2,452,-87.93,-82.32,-70.04,-13.61,11.78
51.606009,-1.226521,453662,189969,21,Train1,2018-06-01 00:00:13,10,O2,6400,816,0,270,-81.96,-78.28,-60.27,-13.25,9.97
51.606024,-1.226567,453659,189971,21,Train1,2018-06-01 00:00:14,30,EE,6225,798,1,253,-80.48,-77.32,-57.74,-13.55,6.89
51.606038,-1.226611,453656,189972,21,Train1,2018-06-01 00:00:14,15,Vodafone,6300,806,1,19,-87.85,-84.69,-62.97,-16.9,5.72
51.606063,-1.226687,453650,189975,21,Train1,2018-06-01 00:00:15,10,O2,6400,816,0,270,-79,-75.32,-58.2,-12.78,9.06
51.606071,-1.226713,453649,189976,21,Train1,2018-06-01 00:00:15,20,Three,1392,1824,2,452,-86.11,-80.5,-74.28,-13.65,12.24
51.606081,-1.226744,453646,189977,21,Train1,2018-06-01 00:00:16,30,EE,6225,798,1,253,-73.57,-70.41,-52.98,-10.89,17.09
51.606097,-1.226794,453643,189978,21,Train1,2018-06-01 00:00:17,15,Vodafone,6300,806,1,19,-78.57,-75.41,-57.7,-12.9,10.18
51.606139,-1.22692,453634,189983,20,Train1,2018-06-01 00:00:18,30,EE,6225,798,1,253,-77.29,-74.13,-55.52,-12.47,11.5
51.60613,-1.226892,453636,189982,20,Train1,2018-06-01 00:00:18,20,Three,1392,1824,2,452,-86.44,-80.83,-75.52,-13.35,8.04
51.606121,-1.226867,453638,189981,20,Train1,2018-06-01 00:00:18,10,O2,6400,816,1,19,-86.19,-82.51,-60.09,-17.94,8.96
51.606155,-1.226968,453631,189985,20,Train1,2018-06-01 00:00:19,15,Vodafone,6300,806,1,19,-81.64,-78.48,-58.08,-16.13,11.62
51.606178,-1.22704,453626,189987,20,Train1,2018-06-01 00:00:20,10,O2,6400,816,1,19,-76.35,-72.67,-55.48,-12.84,11.57
51.606186,-1.227066,453624,189988,20,Train1,2018-06-01 00:00:20,20,Three,1392,1824,2,452,-82.4,-76.79,-71.39,-13.03,18.31
51.606195,-1.227095,453622,189989,20,Train1,2018-06-01 00:00:21,30,EE,6225,798,1,253,-78.06,-74.9,-57.39,-11.11,10.98
51.60621,-1.22714,453619,189991,20,Train1,2018-06-01 00:00:21,15,Vodafone,6300,806,1,19,-75.79,-72.63,-54.79,-13.02,14.59
51.606234,-1.227212,453614,189993,20,Train1,2018-06-01 00:00:22,10,O2,6400,816,1,19,-76.2,-72.52,-55.45,-13.16,10.1
51.606242,-1.227236,453612,189994,20,Train1,2018-06-01 00:00:23,20,Three,1392,1824,2,452,-91.62,-86.01,-77.14,-13.49,10.63
51.606249,-1.227257,453611,189995,20,Train1,2018-06-01 00:00:23,30,EE,6225,798,1,253,-78.46,-75.3,-57.41,-11.83,9.69
51.606267,-1.227312,453607,189997,20,Train1,2018-06-01 00:00:24,15,Vodafone,6300,806,1,19,-77.6,-74.44,-56.36,-13.5,9.11
51.60629,-1.227383,453602,190000,20,Train1,2018-06-01 00:00:25,10,O2,6400,816,1,19,-87.02,-83.34,-63.7,-16.54,10.26
51.606297,-1.227405,453600,190000,20,Train1,2018-06-01 00:00:25,20,Three,1392,1824,2,452,-85.6,-79.99,-73.88,-12.82,12.26
